
time,ax,ay,az,wx,wy,wz
0.494,0.42,0.30,-0.64,-0.28,-0.66,-0.60
0.497,0.42,0.30,-0.64,-0.27,-0.65,-0.63
0.497,0.27,0.34,-0.40,-0.27,-0.65,-0.63
0.502,0.27,0.34,-0.40,-0.27,-0.64,-0.66
0.502,0.07,0.38,-0.08,-0.27,-0.64,-0.66
0.503,0.07,0.38,-0.08,-0.26,-0.62,-0.68
0.506,0.07,0.38,-0.08,-0.24,-0.60,-0.70
0.506,-0.05,0.42,0.17,-0.24,-0.60,-0.70
0.507,-0.05,0.42,0.17,-0.23,-0.57,-0.72
0.51,-0.10,0.43,0.37,-0.23,-0.57,-0.72
0.51,-0.10,0.43,0.37,-0.22,-0.55,-0.74
0.513,-0.10,0.43,0.37,-0.21,-0.51,-0.75
0.513,-0.15,0.45,0.55,-0.21,-0.51,-0.75
0.513,-0.15,0.45,0.55,-0.19,-0.48,-0.77
0.518,-0.15,0.45,0.55,-0.18,-0.44,-0.78
0.518,-0.08,0.44,0.60,-0.18,-0.44,-0.78
0.521,-0.04,0.43,0.62,-0.18,-0.44,-0.78
0.521,-0.04,0.43,0.62,-0.17,-0.40,-0.79
0.522,-0.04,0.43,0.62,-0.16,-0.37,-0.80
0.526,-0.04,0.43,0.62,-0.15,-0.34,-0.81
0.526,0.02,0.45,0.55,-0.15,-0.34,-0.81
0.526,0.02,0.45,0.55,-0.15,-0.31,-0.82
0.53,0.08,0.51,0.42,-0.15,-0.31,-0.82
0.53,0.08,0.51,0.42,-0.15,-0.29,-0.82
0.535,0.08,0.51,0.42,-0.15,-0.27,-0.82
0.535,0.18,0.55,0.28,-0.15,-0.27,-0.82
0.535,0.18,0.55,0.28,-0.15,-0.26,-0.82
0.538,0.18,0.55,0.28,-0.15,-0.25,-0.82
0.538,0.31,0.58,0.10,-0.15,-0.25,-0.82
0.542,0.31,0.58,0.10,-0.16,-0.24,-0.81
0.543,0.31,0.58,0.10,-0.17,-0.23,-0.80
0.543,0.53,0.61,-0.05,-0.17,-0.23,-0.80
0.545,0.53,0.61,-0.05,-0.18,-0.23,-0.80
0.545,0.76,0.60,-0.26,-0.18,-0.23,-0.80
0.545,0.76,0.60,-0.26,-0.19,-0.23,-0.79
0.548,0.91,0.54,-0.39,-0.19,-0.23,-0.79
0.55,0.91,0.54,-0.39,-0.21,-0.23,-0.77
0.552,0.91,0.54,-0.39,-0.22,-0.23,-0.76
