
time,wx,wy,wz,ax,ay,az
0.791,-0.12,-0.07,-0.17,-0.10,0.61,-0.28
0.792,-0.13,-0.07,-0.16,-0.10,0.61,-0.28
0.793,-0.13,-0.07,-0.16,-0.10,0.63,-0.27
0.794,-0.13,-0.08,-0.16,-0.10,0.63,-0.27
0.795,-0.13,-0.08,-0.16,-0.12,0.65,-0.21
0.796,-0.13,-0.08,-0.16,-0.16,0.65,-0.14
0.798,-0.13,-0.08,-0.16,-0.16,0.65,-0.14
0.802,-0.13,-0.09,-0.16,-0.16,0.65,-0.14
0.803,-0.13,-0.09,-0.16,-0.18,0.62,-0.11
0.809,-0.13,-0.09,-0.16,-0.23,0.60,-0.09
0.81,-0.14,-0.09,-0.16,-0.23,0.60,-0.09
0.811,-0.14,-0.09,-0.15,-0.23,0.60,-0.09
0.812,-0.14,-0.09,-0.15,-0.26,0.60,-0.06
0.816,-0.14,-0.09,-0.15,-0.21,0.58,-0.00
0.817,-0.14,-0.10,-0.15,-0.21,0.58,-0.00
0.821,-0.14,-0.10,-0.15,-0.21,0.56,0.07
0.822,-0.14,-0.09,-0.14,-0.21,0.56,0.07
0.826,-0.14,-0.09,-0.14,-0.24,0.56,0.08
0.828,-0.13,-0.09,-0.14,-0.24,0.56,0.08
0.831,-0.13,-0.09,-0.13,-0.24,0.56,0.08
0.832,-0.13,-0.09,-0.13,-0.22,0.54,0.10
0.837,-0.12,-0.09,-0.13,-0.22,0.54,0.10
0.837,-0.12,-0.09,-0.13,-0.23,0.51,0.14
0.842,-0.12,-0.09,-0.12,-0.23,0.51,0.14
0.844,-0.12,-0.09,-0.12,-0.23,0.55,0.22
0.847,-0.11,-0.08,-0.12,-0.23,0.55,0.22
0.848,-0.11,-0.08,-0.12,-0.22,0.57,0.25
0.852,-0.10,-0.08,-0.11,-0.22,0.57,0.25
0.853,-0.10,-0.08,-0.11,-0.23,0.58,0.26
0.859,-0.10,-0.08,-0.11,-0.19,0.56,0.30
0.861,-0.09,-0.08,-0.10,-0.19,0.56,0.30
0.862,-0.08,-0.07,-0.09,-0.19,0.56,0.30
